SIGLA_UF;CODIGO_CARGO;DESCRICAO_CARGO;NOME_CANDIDATO;SEQUENCIAL_CANDIDATO;COD_SITUACAO_CANDIDATURA;DES_SITUACAO_CANDIDATURA;NUMERO_PARTIDO;CODIGO_LEGENDA;CODIGO_OCUPACAO;DESCRICAO_OCUPACAO;IDADE_DATA_ELEICAO;CODIGO_SEXO;DESCRICAO_SEXO;COD_GRAU_INSTRUCAO;DESCRICAO_GRAU_INSTRUCAO;CODIGO_ESTADO_CIVIL;DESCRICAO_ESTADO_CIVIL;CODIGO_COR_RACA;DESCRICAO_COR_RACA;CODIGO_NACIONALIDADE;DESCRICAO_NACIONALIDADE;DESPESA_MAX_CAMPANHA;COD_SIT_TOT_TURNO;DESC_SIT_TOT_TURNO;VALOR_BEM;VALOR_RECEITA
AC;7;DEPUTADO ESTADUAL;BENEDITO SILVA BARBOSA;10000000504;2;DEFERIDO;23;10000000034;266;PROFESSOR DE ENSINO MêDIO;46;2;MASCULINO;8;SUPERIOR COMPLETO;9;DIVORCIADO(A);3;PARDA;1;BRASILEIRA NATA;1000000;5;SUPLENTE;210000;2190.5
AC;7;DEPUTADO ESTADUAL;MARIA APARECIDA ALVES DE SOUZA;10000000055;2;DEFERIDO;12;10000000021;254;VIGILANTE;32;4;FEMININO;6;ENSINO MêDIO COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;38918.17;821.88
AC;7;DEPUTADO ESTADUAL;ASTêRIO DE PAULA MOREIRA FILHO;10000000206;2;DEFERIDO;51;10000000028;277;DEPUTADO;53;2;MASCULINO;6;ENSINO MêDIO COMPLETO;3;CASADO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;493000;106605
AC;7;DEPUTADO ESTADUAL;JOSê MASTRANGELO FILHO;10000000514;2;DEFERIDO;23;10000000034;171;JORNALISTA E REDATOR;30;2;MASCULINO;8;SUPERIOR COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;1000000;5;SUPLENTE;20000;6500
AC;7;DEPUTADO ESTADUAL;PAULO AMORIM DE ANDRADE;10000000332;2;DEFERIDO;43;10000000031;171;JORNALISTA E REDATOR;41;2;MASCULINO;7;SUPERIOR INCOMPLETO;3;CASADO(A);2;PRETA;1;BRASILEIRA NATA;600000;5;SUPLENTE;90000;8160
AC;7;DEPUTADO ESTADUAL;WILDY BENTO DA SILVA SAADY;10000000499;2;DEFERIDO;23;10000000034;233;POLICIAL MILITAR;40;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;1000000;5;SUPLENTE;177000;5190.5
AC;7;DEPUTADO ESTADUAL;ANTONIO WASHINGTON DE AQUINO SOBRINHO;10000000130;2;DEFERIDO;65;10000000024;171;JORNALISTA E REDATOR;51;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);3;PARDA;1;BRASILEIRA NATA;600000;5;SUPLENTE;124400;16306
AC;7;DEPUTADO ESTADUAL;JONAS DE SOUZA LIMA;10000000183;2;DEFERIDO;13;10000000028;277;DEPUTADO;52;2;MASCULINO;4;ENSINO FUNDAMENTAL COMPLETO;3;CASADO(A);1;BRANCA;1;BRASILEIRA NATA;690000;2;ELEITO POR QP;420000;245438.82
AC;7;DEPUTADO ESTADUAL;AGENOR GERONIMO DE SOUZA;10000000147;2;DEFERIDO;50;10000000025;297;SERVIDOR PÈBLICO ESTADUAL;52;2;MASCULINO;8;SUPERIOR COMPLETO;1;SOLTEIRO(A);1;BRANCA;1;BRASILEIRA NATA;50000;4;N«O ELEITO;5000;2130
AC;7;DEPUTADO ESTADUAL;RUT“NIO Sµ DE OLIVEIRA;10000000217;2;DEFERIDO;10;10000000029;115;ODONT‡LOGO;40;2;MASCULINO;8;SUPERIOR COMPLETO;9;DIVORCIADO(A);1;BRANCA;1;BRASILEIRA NATA;500000;5;SUPLENTE;328000;42078.39
