ID;assignment;blog;chat;course;forum;quiz;resource;upload;user;PeriodoLetivo;StatusFinal
10088-5714;11;0;15;28;28;7;45;0;4;20130102;INsucesso
10127-5469;20;0;2;43;16;23;55;2;2;20120202;SUCESSO
10786-5469;64;0;0;42;50;40;12;11;6;20120202;SUCESSO
110-7098;17;1;6;14;64;12;3;0;10;20130202;INsucesso
11091-6388;19;0;29;59;124;32;61;1;8;20130102;SUCESSO
11848-6398;14;0;3;40;30;14;20;1;2;20130102;INsucesso
11848-7098;8;0;0;21;41;21;3;1;4;20130202;SUCESSO
12526-6388;15;0;0;23;54;0;5;1;1;20130102;SUCESSO
13005-6398;33;0;1;25;22;10;53;2;13;20130102;SUCESSO
13016-5468;37;0;10;90;199;12;55;2;9;20120202;INsucesso
13142-6388;35;1;4;92;117;31;18;1;23;20130102;SUCESSO
13179-5388;7;0;0;3;1;1;5;0;0;20120202;INsucesso
13179-5714;31;0;4;36;48;5;20;1;1;20130102;SUCESSO
13190-5468;19;0;0;60;55;24;41;1;1;20120202;SUCESSO
13298-7098;0;0;0;9;2;0;14;0;1;20130202;INsucesso
13342-4130;29;0;1;39;23;115;21;4;1;20120102;INsucesso
13342-5468;20;0;18;50;119;0;12;8;18;20120202;SUCESSO
13420-6398;31;0;9;99;169;66;128;1;7;20130102;SUCESSO
13511-6389;19;1;7;92;145;75;52;3;36;20130102;SUCESSO
13564-6388;8;0;7;51;29;3;71;0;28;20130102;INsucesso
14004-4604;30;0;9;58;49;18;54;2;7;20120102;SUCESSO
14034-6398;25;0;15;22;43;24;29;1;3;20130102;SUCESSO
15073-5714;9;0;0;32;16;51;8;1;0;20130102;INsucesso
15217-7098;37;0;2;37;63;73;28;6;5;20130202;SUCESSO
15396-4130;13;0;2;22;26;35;20;3;1;20120102;INsucesso
15396-5469;22;0;0;27;0;36;15;3;10;20120202;SUCESSO
15432-5469;27;0;22;119;42;1;35;1;6;20120202;SUCESSO
15494-5714;31;0;65;53;53;102;80;2;43;20130102;SUCESSO
15669-6398;14;0;4;45;56;23;43;1;6;20130102;SUCESSO
15818-5469;33;0;15;43;40;15;55;3;1;20120202;SUCESSO
17083-4604;45;0;24;115;251;49;118;3;4;20120102;SUCESSO
17356-5388;24;0;1;63;105;2;25;7;2;20120202;INsucesso
17540-5468;41;6;14;138;209;58;54;8;20;20120202;SUCESSO
17604-4130;15;0;26;233;148;29;39;1;80;20120102;SUCESSO
17813-4130;36;0;40;72;64;24;39;1;31;20120102;SUCESSO
17874-5388;37;0;15;62;122;33;65;3;30;20120202;SUCESSO
18027-4130;42;0;32;62;73;61;43;6;2;20120102;SUCESSO
18030-4130;34;0;3;33;70;28;20;5;9;20120102;SUCESSO
18047-6398;146;2;21;245;452;52;80;1;39;20130102;INsucesso
18070-6388;22;0;1;40;51;21;26;1;2;20130102;SUCESSO
18081-5468;22;0;0;25;27;1;17;2;5;20120202;INsucesso
18163-4605;13;0;14;22;5;19;61;2;0;20120102;INsucesso
18163-6398;6;0;0;25;16;55;30;0;0;20130102;SUCESSO
18184-7098;11;0;8;16;4;0;1;1;7;20130202;INsucesso
18187-4605;34;0;44;108;131;36;53;4;109;20120102;SUCESSO
18201-4605;29;0;23;58;73;6;3;2;10;20120102;INsucesso
18208-6389;16;0;0;23;61;0;2;0;1;20130102;INsucesso
18208-7098;3;0;0;28;37;22;2;0;2;20130202;INsucesso
18217-4605;35;0;36;46;59;45;32;2;14;20120102;SUCESSO
18267-4130;29;0;12;113;150;19;42;2;52;20120102;SUCESSO
18297-6388;9;0;0;14;7;5;12;1;0;20130102;INsucesso
18399-6388;27;0;0;45;13;10;7;2;1;20130102;SUCESSO
18523-7274;23;1;25;74;222;96;117;1;29;20130202;SUCESSO
18571-4604;11;0;0;7;14;1;2;0;1;20120102;INsucesso
18672-6398;32;5;5;89;27;81;45;2;65;20130102;SUCESSO
18700-5469;22;0;0;35;27;17;8;2;1;20120202;INsucesso
18875-7118;28;0;2;79;238;40;55;0;5;20130202;SUCESSO
18900-7118;22;0;7;22;73;2;58;0;18;20130202;INsucesso
18926-4605;26;0;0;19;6;46;25;3;6;20120102;INsucesso
19254-6389;22;1;29;75;101;63;34;1;24;20130102;SUCESSO
19260-6389;26;0;11;73;81;35;23;0;1;20130102;SUCESSO
19683-4605;21;0;5;36;17;31;6;1;6;20120102;INsucesso
19850-6398;24;0;2;27;24;17;17;1;1;20130102;INsucesso
19904-4605;29;0;1;33;64;38;44;4;3;20120102;INsucesso
20306-7274;11;0;3;16;10;5;12;1;24;20130202;INsucesso
21251-5469;5;0;12;13;12;0;13;0;9;20120202;SUCESSO
21340-5468;24;0;6;51;50;40;38;2;8;20120202;INsucesso
21340-6398;27;0;34;118;66;34;57;2;25;20130102;SUCESSO
21367-4605;27;3;12;44;39;27;40;1;23;20120102;INsucesso
21367-6398;32;1;1;73;46;128;64;2;7;20130102;SUCESSO
21380-5714;18;0;4;45;35;0;73;1;1;20130102;SUCESSO
21393-4605;16;0;28;121;89;3;19;1;14;20120102;SUCESSO
21598-4604;23;0;22;40;65;47;16;2;2;20120102;SUCESSO
21640-5714;0;0;0;1;0;0;3;0;0;20130102;INsucesso
21659-5388;35;0;10;140;182;17;64;3;12;20120202;SUCESSO
21708-5468;14;0;1;89;137;17;20;0;13;20120202;INsucesso
21788-5469;27;0;4;43;67;12;27;4;10;20120202;SUCESSO
21888-7274;22;0;16;42;79;74;47;2;0;20130202;SUCESSO
21911-4130;16;0;5;44;24;14;36;0;6;20120102;SUCESSO
22034-4605;44;0;27;38;35;204;22;4;1;20120102;SUCESSO
22189-4604;28;0;15;54;93;9;36;3;11;20120102;SUCESSO
22212-4604;65;0;0;54;53;91;85;3;9;20120102;SUCESSO
22222-4130;52;0;4;116;162;29;43;3;8;20120102;SUCESSO
22256-4605;0;0;24;6;4;0;2;0;0;20120102;INsucesso
22256-6388;5;0;1;27;24;0;1;0;1;20130102;INsucesso
22293-7098;5;0;19;20;90;8;44;0;5;20130202;SUCESSO
22305-5468;29;0;3;32;47;0;39;3;0;20120202;SUCESSO
22316-4130;14;0;21;44;42;8;47;0;6;20120102;INsucesso
22418-4130;69;0;17;210;232;91;115;8;119;20120102;SUCESSO
22440-4604;28;0;16;34;17;40;29;3;1;20120102;SUCESSO
22460-7274;8;0;1;12;26;3;4;0;0;20130202;INsucesso
22469-7274;32;0;19;131;149;118;31;1;77;20130202;SUCESSO
22475-4605;30;0;12;82;124;17;90;3;1;20120102;SUCESSO
22499-5388;32;0;1;20;63;3;27;8;0;20120202;SUCESSO
22507-4130;10;0;12;71;76;20;47;2;24;20120102;SUCESSO
22513-4605;6;0;0;9;7;15;12;0;6;20120102;INsucesso
22522-4604;18;0;3;55;75;5;21;1;2;20120102;INsucesso
22522-6398;13;0;5;45;43;17;16;1;4;20130102;INsucesso
22554-6398;24;0;1;48;21;22;47;4;8;20130102;SUCESSO
22611-4130;0;0;7;1;0;0;0;0;0;20120102;INsucesso
22614-4604;27;0;6;46;39;30;29;3;4;20120102;INsucesso
22677-5469;34;0;6;19;30;22;12;3;2;20120202;SUCESSO
22694-4604;43;0;6;37;42;50;13;1;4;20120102;SUCESSO
22788-5468;33;0;22;119;467;37;85;1;5;20120202;SUCESSO
22801-5468;0;0;0;1;0;0;0;0;0;20120202;INsucesso
22906-7098;25;0;1;67;68;42;78;3;4;20130202;SUCESSO
22929-7118;14;0;1;41;114;19;39;4;21;20130202;INsucesso
22946-7274;14;0;2;31;63;23;4;0;4;20130202;INsucesso
22977-7118;23;0;3;99;315;33;94;1;6;20130202;SUCESSO
23038-6398;34;0;2;44;25;49;28;5;8;20130102;INsucesso
23038-7274;39;0;0;33;28;12;17;8;16;20130202;INsucesso
23180-5388;16;0;5;22;26;6;5;0;21;20120202;SUCESSO
23184-6389;3;2;24;9;31;0;23;0;20;20130102;INsucesso
23725-4605;24;0;17;68;52;40;62;4;19;20120102;INsucesso
23725-5468;24;0;11;74;153;34;62;9;33;20120202;SUCESSO
23754-6398;12;0;0;33;68;23;18;2;9;20130102;SUCESSO
23953-5468;45;0;6;74;49;49;43;3;7;20120202;INsucesso
23953-6388;25;2;20;113;47;194;35;1;6;20130102;SUCESSO
24091-6398;23;0;7;62;148;119;26;1;15;20130102;SUCESSO
24108-4130;22;0;2;34;58;33;27;3;6;20120102;SUCESSO
24676-6388;16;0;1;31;74;1;36;1;4;20130102;INsucesso
