Trans_ID,Product1,Product2,Product3
1,Bread,Butter,Dairy
2,Nachos,Butter,Dairy
3,Juice,Jam,Egg
4,Juice,Jam,Egg
5,Juice,Vegetable,Salad
6,Bread,Butter,Egg
7,Nachos,Salsa,Dairy
8,Bread,Jam,Egg
9,Juice,Jam,Egg
10,Fruits,Vegetable,Salad
11,Bread,Butter,Egg
12,Bread,Butter,Egg
13,Nachos,Salsa,Dairy
14,Juice,Jam,Egg
15,Juice,Jam,Egg
16,Nachos,Salsa,Egg
17,Nachos,Salsa,Dairy
18,Bread,Butter,Egg
19,Bread,Jam,Dairy
20,Bread,Butter,Egg
21,Juice,Jam,Egg
22,Bread,Butter,Egg
23,Bread,Jam,Dairy
24,Juice,Jam,Egg
25,Juice,Jam,Egg
26,Juice,Vegetable,Salad
27,Juice,Jam,Egg
28,Bread,Jam,Dairy
29,Juice,Vegetable,Salad
30,Juice,Jam,Egg
31,Bread,Butter,Egg
32,Juice,Jam,Egg
33,Fruits,Vegetable,Salad
34,Bread,Butter,Egg
35,Bread,Butter,Egg
36,Bread,Jam,Dairy
37,Fruits,Vegetable,Salad
38,Bread,Butter,Dairy
39,Juice,Jam,Egg
40,Bread,Jam,Dairy
41,Bread,Jam,Dairy
42,Bread,Jam,Dairy
43,Nachos,Salsa,Dairy
44,Nachos,Salsa,Dairy
45,Fruits,Vegetable,Salad
46,Juice,Jam,Egg
47,Juice,Jam,Egg
48,Bread,Butter,Egg
49,Bread,Jam,Dairy
50,Juice,Vegetable,Salad
51,Bread,Jam,Dairy
52,Fruits,Vegetable,Salad
53,Fruits,Vegetable,Salad
54,Nachos,Salsa,Dairy
55,Bread,Jam,Egg
56,Juice,Jam,Egg
57,Fruits,Vegetable,Salad
58,Fruits,Vegetable,Salad
59,Bread,Butter,Egg
60,Bread,Jam,Dairy
61,Nachos,Butter,Dairy
62,Bread,Butter,Egg
63,Nachos,Salsa,Egg
64,Fruits,Jam,Salad
65,Bread,Butter,Egg
66,Bread,Jam,Egg
67,Nachos,Salsa,Egg
68,Nachos,Salsa,Egg
69,Juice,Vegetable,Egg
70,Bread,Butter,Egg
71,Fruits,Vegetable,Salad
72,Juice,Vegetable,Salad
73,Juice,Vegetable,Salad
74,Nachos,Salsa,Dairy
75,Nachos,Salsa,Dairy
76,Juice,Jam,Egg
77,Bread,Butter,Egg
78,Juice,Jam,Egg
79,Bread,Butter,Egg
80,Bread,Butter,Egg
81,Fruits,Vegetable,Salad
82,Nachos,Salsa,Dairy
83,Nachos,Salsa,Dairy
84,Nachos,Salsa,Egg
85,Juice,Jam,Egg
86,Bread,Butter,Egg
87,Bread,Butter,Egg
88,Juice,Jam,Egg
89,Bread,Jam,Dairy
90,Nachos,Butter,Dairy
91,Juice,Jam,Egg
92,Nachos,Salsa,Dairy
93,Bread,Jam,Dairy
94,Bread,Butter,Dairy
95,Bread,Butter,Egg
96,Bread,Butter,Egg
97,Bread,Jam,Egg
98,Juice,Jam,Egg
99,Bread,Butter,Egg
100,Juice,Jam,Egg
101,Nachos,Salsa,Egg
102,Bread,Butter,Dairy
103,Bread,Butter,Egg
104,Nachos,Salsa,Dairy
105,Nachos,Salsa,Egg
106,Juice,Jam,Egg
107,Bread,Butter,Egg
108,Juice,Jam,Egg
109,Fruits,Vegetable,Salad
110,Nachos,Salsa,Egg
111,Nachos,Salsa,Dairy
112,Juice,Jam,Egg
113,Juice,Jam,Egg
114,Juice,Jam,Egg
115,Juice,Jam,Egg
116,Nachos,Salsa,Egg
117,Juice,Jam,Egg
118,Bread,Butter,Egg
119,Fruits,Vegetable,Salad
120,Nachos,Salsa,Egg
121,Bread,Jam,Dairy
122,Juice,Jam,Egg
123,Bread,Butter,Egg
124,Nachos,Salsa,Egg
125,Fruits,Vegetable,Salad
126,Bread,Butter,Egg
127,Nachos,Salsa,Egg
128,Juice,Jam,Egg
129,Fruits,Vegetable,Salad
130,Fruits,Vegetable,Salad
131,Bread,Butter,Egg
132,Bread,Butter,Egg
133,Bread,Jam,Egg
134,Bread,Butter,Egg
135,Bread,Butter,Dairy
136,Bread,Jam,Dairy
137,Bread,Jam,Dairy
138,Bread,Jam,Dairy
139,Nachos,Salsa,Egg
140,Nachos,Salsa,Dairy
141,Juice,Jam,Egg
142,Juice,Jam,Egg
143,Bread,Butter,Egg
144,Bread,Jam,Dairy
145,Juice,Jam,Egg
146,Fruits,Vegetable,Salad
147,Nachos,Salsa,Egg
148,Fruits,Vegetable,Salad
149,Fruits,Vegetable,Salad
150,Nachos,Salsa,Egg
151,Bread,Jam,Dairy
152,Bread,Butter,Egg
153,Bread,Butter,Egg
154,Bread,Butter,Egg
155,Bread,Butter,Egg
156,Fruits,Vegetable,Salad
157,Fruits,Vegetable,Salad
158,Nachos,Salsa,Egg
159,Juice,Jam,Egg
160,Nachos,Salsa,Dairy
161,Bread,Jam,Egg
162,Bread,Jam,Egg
163,Bread,Butter,Egg
164,Bread,Butter,Egg
165,Nachos,Salsa,Dairy
166,Fruits,Vegetable,Salad
167,Fruits,Vegetable,Salad
168,Juice,Jam,Egg
169,Juice,Jam,Egg
170,Fruits,Vegetable,Salad
171,Nachos,Salsa,Dairy
172,Bread,Butter,Egg
173,Bread,Butter,Egg
174,Juice,Jam,Egg
175,Bread,Butter,Egg
176,Juice,Jam,Egg
177,Juice,Jam,Egg
178,Bread,Jam,Dairy
179,Bread,Butter,Egg
180,Juice,Jam,Egg
181,Fruits,Vegetable,Salad
182,Fruits,Vegetable,Salad
183,Fruits,Jam,Salad
184,Nachos,Salsa,Dairy
185,Nachos,Salsa,Egg
186,Nachos,Salsa,Egg
187,Juice,Jam,Egg
188,Fruits,Vegetable,Salad
189,Nachos,Salsa,Egg
190,Juice,Jam,Egg
191,Bread,Jam,Dairy
192,Nachos,Salsa,Egg
193,Bread,Jam,Dairy
194,Juice,Vegetable,Salad
195,Bread,Jam,Egg
196,Juice,Jam,Egg
197,Nachos,Salsa,Dairy
198,Nachos,Salsa,Egg
199,Bread,Butter,Egg
200,Bread,Jam,Dairy
201,Bread,Jam,Dairy
202,Juice,Jam,Egg
203,Fruits,Vegetable,Salad
204,Bread,Butter,Egg
205,Fruits,Vegetable,Salad
206,Fruits,Vegetable,Salad
207,Bread,Butter,Egg
208,Nachos,Salsa,Dairy
209,Juice,Vegetable,Salad
210,Juice,Vegetable,Salad
211,Bread,Butter,Egg
212,Nachos,Salsa,Egg
213,Juice,Vegetable,Salad
214,Bread,Butter,Egg
215,Nachos,Salsa,Egg
216,Juice,Jam,Egg
217,Fruits,Vegetable,Salad
218,Bread,Butter,Egg
219,Nachos,Salsa,Egg
220,Bread,Jam,Egg
221,Bread,Salsa,Dairy
222,Nachos,Salsa,Egg
223,Fruits,Vegetable,Salad
224,Bread,Jam,Dairy
